holc_grade,id,N_samples,City,City_state
B,CA_Los Angeles_B65_B_377,520,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B66_B_378,39,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B67_B_379,49,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B68_B_380,99,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B69_B_381,1758,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B7_B_382,380,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B70_B_383,246,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B71_B_384,111,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B72_B_385,502,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B73_B_386,42,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B74_B_387,797,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B75_B_388,1299,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B76_B_389,6369,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B77_B_390,177,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B78_B_391,42,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B79_B_392,45,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B8_B_393,22,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B80_B_394,14,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B81_B_395,22,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B82_B_396,75,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B83_B_397,11,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B84_B_398,731,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B85_B_399,69,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B86_B_400,11,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B87_B_401,4,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B88_B_402,649,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B89_B_403,36,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B9_B_404,1008,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B90_B_405,26,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B91_B_406,65,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B92_B_407,330,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B93_B_408,581,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B94_B_409,151,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B95_B_410,61,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B96_B_411,246,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B97_B_412,65,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B98_B_413,51,Los Angeles,"Los Angeles, CA"
